Status,Leetcode,Name,Difficulty,Tag,Page,Date
In progress,261,Graph Valid Tree,Medium,"BFS, Graph",https://leetcode.com/problems/graph-valid-tree/description/,"July 24, 2023"
In progress,200,Number of Islands,Medium,"BFS, Graph",https://leetcode.com/problems/number-of-islands/?envType=study-plan-v2&envId=top-interview-150,"July 24, 2023"
Done,103,"BT Zigzag Level Order Traversal ",Medium,"BFS, BT",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description/,"July 24, 2023"
In progress,230,Kth Smallest Element in a BST,Medium,"BST, DFS",https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/?envType=study-plan-v2&envId=top-interview-150,"July 21, 2023"
In progress,530,Minimum Absolute Difference in BST,Easy,"BST, DFS",https://leetcode.com/problems/minimum-absolute-difference-in-bst/description/?envType=study-plan-v2&envId=top-interview-150,"July 21, 2023"
In progress,426,Convert BST to Sorted Doubly Linked List,Medium,"BST, DFS, Recursion",https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/description/,"July 21, 2023"
In progress,98,Validate Binary Search Tree,Medium,"BST, DFS",https://leetcode.com/problems/validate-binary-search-tree/description/?envType=study-plan-v2&envId=top-interview-150,"July 21, 2023"
In progress,222,Count Complete Tree Nodes,Medium,"BT, DFS",https://leetcode.com/problems/count-complete-tree-nodes/?envType=study-plan-v2&envId=top-interview-150,"July 20, 2023"
In progress,124,BT Maximum Path Sum,Hard,"BT, DFS",https://leetcode.com/problems/binary-tree-maximum-path-sum/?envType=study-plan-v2&envId=top-interview-150,"July 20, 2023"
In progress,129,Sum Root to Leaf Numbers,Medium,"BT, DFS, Iteration, Recursion",https://leetcode.com/problems/sum-root-to-leaf-numbers/description/?envType=study-plan-v2&envId=top-interview-150,"July 20, 2023"
needreview😭,106,Construct BT from Inorder and Postorder Traversal,Medium,"Array, BT, Hash Table",https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/?envType=study-plan-v2&envId=top-interview-150,"July 19, 2023"
needreview😭,105,Construct BT from Preorder and Inorder Traversal,Medium,"Array, BT, Hash Table",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/?source=submission-ac,"July 19, 2023"
In progress,113,"Path Sum II ",Medium,"BT, DFS, Recursion",https://leetcode.com/problems/path-sum-ii/description/,"July 18, 2023"
In progress,112,Path Sum,Easy,"BT, Iteration, Recursion",https://leetcode.com/problems/path-sum/description/?envType=study-plan-v2&envId=top-interview-150,"July 18, 2023"
needreview😭,114,Flatten Binary Tree to Linked List,Medium,"BT, DFS, Linked List, Recursion",https://leetcode.com/problems/flatten-binary-tree-to-linked-list/?envType=study-plan-v2&envId=top-interview-150,"July 18, 2023"
In progress,110,Balanced Binary Tree,Easy,"BT, Recursion",https://leetcode.com/problems/balanced-binary-tree/description/,"July 12, 2023"
In progress,257,Binary Tree Paths,Easy,"BT, Recursion",https://leetcode.com/problems/binary-tree-paths/description/,"July 11, 2023"
Done,100,Same Tree,Easy,"BT, Recursion",,"July 11, 2023"
Done,101,Symmetric Tree,Easy,"BT, Recursion",https://leetcode.com/problems/symmetric-tree/description/?envType=study-plan-v2&envId=top-interview-150,"July 11, 2023"
Done,226,Invert Binary Tree,Easy,"BFS, BT, DFS",https://leetcode.com/problems/invert-binary-tree/description/?envType=study-plan-v2&envId=top-interview-150,"July 11, 2023"
